  22.C.BUDTZ-JORGENSEN AND H.H.KNITTER,NSE,79,380(1981).          9440 1451  142
  23.J.W.BEHRENS,J.C.BROWNE AND G.W.CARLSON,UCID-17047,LLL(1976). 9440 1451  143
  24.L.W.WESTON AND J.H.TODD,NUCL.SCI.ENG.,84,248(1983).          9440 1451  144
  25.K.KARI AND S.CIERJACKS, PROC.SPEC.MTG. PU AND AM ISOTOPES FOR9440 1451  145
     REACTOR APPLICATIONS, BNL-50991,BROOKHAVEN NAT. LAB.(1979).  9440 1451  146
  26.W.B.GILBOY AND G.KNOLL,KFK-450,KERNFORSCHUNGSZENTRUM (1966). 9440 1451  147
  27.M.V.SAVIN ET AL,INDC(CCP)-8/U (1970).                        9440 1451  148
  28.J.W.MEADOWS,NUCL.SCI.ENG.,79,223(1981).                      9440 1451  149
  29. D.G.MADLAND AND P.G.YOUNG,"EVALUATION OF N + PU-242 REACTION9440 1451  150
      FROM 10 KEV TO 20 MEV,"PROC. NUCLEAR DATA FOR PU AND AM FOR 9440 1451  151
      REACTOR APPLICATIONS, P. 189, BNL 50991(1978).              9440 1451  152
  30. L.W.WESTON P.C. TO B.A.MAGURNO NOV.12,1982                  9440 1451  153
 *****************************************************************9440 1451  154
                                1        451        239          09440 1451  155
                                1        452          5          09440 1451  156
                                1        455          7          09440 1451  157
                                1        456          5          09440 1451  158
                                1        458          5          09440 1451  159
                                2        151        306          09440 1451  160
                                3          1         47          09440 1451  161
                                3          2         40          09440 1451  162
                                3          4         39          09440 1451  163
                                3         16         13          09440 1451  164
                                3         17          9          09440 1451  165
                                3         18         40          09440 1451  166
                                3         19         40          09440 1451  167
                                3         20         15          09440 1451  168
                                3         21          9          09440 1451  169
                                3         51         38          09440 1451  170
                                3         52         33          09440 1451  171
                                3         53         30          09440 1451  172
                                3         54         28          09440 1451  173
                                3         55         19          09440 1451  174
                                3         56         19          09440 1451  175
                                3         57         19          09440 1451  176
                                3         58         15          09440 1451  177
                                3         59         14          09440 1451  178
                                3         60         14          09440 1451  179
                                3         61         14          09440 1451  180
                                3         62         13          09440 1451  181
                                3         63         13          09440 1451  182
                                3         64         13          09440 1451  183
                                3         65         13          09440 1451  184
                                3         66         11          09440 1451  185
                                3         67         11          09440 1451  186
                                3         68         11          09440 1451  187
                                3         69         11          09440 1451  188
                                3         91         21          09440 1451  189
                                3        102         42          09440 1451  190
                                4          2         69          09440 1451  191
                                4         16          2          09440 1451  192
                                4         17          2          09440 1451  193
                                4         18          2          09440 1451  194
                                4         19          2          09440 1451  195
                                4         20          2          09440 1451  196
                                4         21          2          09440 1451  197
                                4         51         65          09440 1451  198
                                4         52         61          09440 1451  199
                                4         53         59          09440 1451  200
                                4         54          2          09440 1451  201
                                4         55          2          09440 1451  202
                                4         56          2          09440 1451  203
                                4         57          2          09440 1451  204
                                4         58          2          09440 1451  205
                                4         59          2          09440 1451  206
                                4         60          2          09440 1451  207
                                4         61          2          09440 1451  208
                                4         62          2          09440 1451  209
                                4         63          2          09440 1451  210
                                4         64          2          09440 1451  211
                                4         65          2          09440 1451  212
                                4         66          2          09440 1451  213
                                4         67          2          09440 1451  214
                                4         68          2          09440 1451  215
                                4         69          2          09440 1451  216
                                4         91          2          09440 1451  217
                                5         16          9          09440 1451  218
                                5         17          8          09440 1451  219
                                5         18         10          09440 1451  220
                                5         19         10          09440 1451  221
                                5         20         25          09440 1451  222
                                5         21         19          09440 1451  223
                                5         91         10          09440 1451  224
                                5        455        579          09440 1451  225
                                8         16          2          09440 1451  226
                                8         17          2          09440 1451  227
                                8        102          2          09440 1451  228
                               12          4         67          09440 1451  229
                               12         18          5          09440 1451  230
                               12        102          5          09440 1451  231
                               13          3          7          09440 1451  232
                               14          3          1          09440 1451  233
                               14          4          1          09440 1451  234
                               14         18          1          09440 1451  235
                               14        102          1          09440 1451  236
                               15          3        136          09440 1451  237
                               15         18         58          09440 1451  238
                               15        102         54          09440 1451  239
 0.000000+0 0.000000+0          0          0          0          09440 1  099999
 9.424000+4 2.379920+2          0          2          0          09440 1452    1
 0.000000+0 0.000000+0          0          0          1          59440 1452    2
          5          2                                            9440 1452    3
 1.000000-5 2.803000+0 4.000000+6 3.411000+0 7.000000+6 3.864360+09440 1452    4
 1.400000+7 4.928570+0 2.000000+7 5.840750+0                      9440 1452    5
 0.000000+0 0.000000+0          0          0          0          09440 1  099999
 9.424000+4 2.379920+2          0          2          0          09440 1455    1
 0.000000+0 0.000000+0          0          0          6          09440 1455    2
 1.332900-2 3.051000-2 1.151600-1 2.974000-1 8.476600-1 2.879600+09440 1455    3
 0.000000+0 0.000000+0          0          0          1          49440 1455    4
          4          2                                            9440 1455    5
 1.000000-5 9.000000-3 4.000000+6 9.000000-3 7.000000+6 6.150000-39440 1455    6
 2.000000+7 6.150000-3                                            9440 1455    7
 0.000000+0 0.000000+0          0          0          0          09440 1  099999
 9.424000+4 2.379920+2          0          2          0          09440 1456    1
 0.000000+0 0.000000+0          0          0          1          59440 1456    2
          5          2                                            9440 1456    3
 1.000000-5 2.794000+0 4.000000+6 3.402000+0 7.000000+6 3.858210+09440 1456    4
 1.400000+7 4.922420+0 2.000000+7 5.834600+0                      9440 1456    5
 0.000000+0 0.000000+0          0          0          0          09440 1  099999
 9.424000+4 2.379920+2          0          0          0          09440 1458    1
 0.000000+0 0.000000+0          0          0         18          99440 1458    2
 1.737000+8 2.000000+6 6.480000+6 3.600000+5 4.400000+3 8.000002+29440 1458    3
 6.180000+6 1.000000+6 6.490000+6 7.500000+5 6.620000+6 5.000000+59440 1458    4
 8.880000+6 1.100000+6 1.994700+8 1.123800+6 2.083500+8 2.300000+59440 1458    5
 0.000000+0 0.000000+0          0          0          0          09440 1  099999
 0.000000+0 0.000000+0          0          0          0          09440 0  0    0
 9.424000+4 2.379920+2          0          0          1          09440 2151    1
 9.424000+4 1.000000+0          0          1          2          09440 2151    2
 1.000000-5 5.700000+3          1          2          0          09440 2151    3
 0.000000+0 8.880000-1          0          0          1          09440 2151    4
 2.379920+2 0.000000+0          0          0       1608        2689440 2151    5
-1.445000+1 5.000000-1 4.983900-2 1.883000-2 3.100000-2 9.000000-69440 2151    6
 1.056000+0 5.000000-1 3.305600-2 2.450000-3 3.060000-2 6.000000-69440 2151    7
 2.046000+1 5.000000-1 3.510500-2 2.645000-3 3.220000-2 2.596800-49440 2151    8
 3.832000+1 5.000000-1 4.387100-2 1.736000-2 2.650000-2 1.086700-59440 2151    9
 4.162000+1 5.000000-1 4.689300-2 1.669000-2 3.020000-2 3.371600-69440 2151   10
 6.662000+1 5.000000-1 8.339600-2 5.417000-2 2.920000-2 2.571000-59440 2151   11
 7.278000+1 5.000000-1 4.904500-2 2.145000-2 2.750000-2 9.511800-59440 2151   12
 9.077000+1 5.000000-1 5.116100-2 1.285000-2 3.830000-2 1.075000-59440 2151   13
 9.251000+1 5.000000-1 3.268400-2 3.120000-3 2.950000-2 6.390100-59440 2151   14
 1.050000+2 5.000000-1 8.166500-2 4.486000-2 3.680000-2 5.097200-69440 2151   15
 1.216000+2 5.000000-1 4.561600-2 1.457000-2 3.100000-2 4.571000-59440 2151   16
 1.307000+2 5.000000-1 3.102100-2 1.800000-4 3.060000-2 2.412800-49440 2151   17
 1.353000+2 5.000000-1 5.160600-2 2.008000-2 3.150000-2 2.647100-59440 2151   18
 1.519000+2 5.000000-1 4.346900-2 1.406000-2 2.910000-2 3.088600-49440 2151   19
 1.627000+2 5.000000-1 3.665500-2 9.150000-3 2.750000-2 5.207800-69440 2151   20
 1.701000+2 5.000000-1 4.423900-2 1.672000-2 2.740000-2 1.193300-49440 2151   21
 1.858000+2 5.000000-1 4.745900-2 1.855000-2 2.890000-2 8.954500-69440 2151   22
 1.920000+2 5.000000-1 3.101800-2 2.900000-4 3.060000-2 1.283500-49440 2151   23
 1.996000+2 5.000000-1 3.170700-2 9.700000-4 3.060000-2 1.372900-49440 2151   24
 2.392000+2 5.000000-1 4.083300-2 1.309000-2 2.770000-2 4.304800-59440 2151   25
 2.605000+2 5.000000-1 5.507600-2 2.428000-2 3.070000-2 9.595200-59440 2151   26
 2.871000+2 5.000000-1 1.695300-1 1.370500-1 3.210000-2 3.818600-49440 2151   27
 3.049000+2 5.000000-1 3.805400-2 7.380000-3 3.060000-2 7.373600-59440 2151   28
 3.183000+2 5.000000-1 3.653800-2 5.790000-3 3.060000-2 1.476700-49440 2151   29
 3.207000+2 5.000000-1 5.045600-2 1.980000-2 3.060000-2 5.631700-59440 2151   30
 3.384000+2 5.000000-1 3.770600-2 7.100000-3 3.060000-2 5.841800-69440 2151   31
 3.460000+2 5.000000-1 4.804600-2 1.730000-2 3.060000-2 1.463600-49440 2151   32
 3.637000+2 5.000000-1 6.492500-2 3.160000-2 3.330000-2 2.547700-59440 2151   33
 3.720000+2 5.000000-1 4.184200-2 1.430000-2 2.750000-2 4.184200-59440 2151   34
 4.050000+2 5.000000-1 1.365700-1 1.061000-1 3.000000-2 4.682700-49440 2151   35
 4.190000+2 5.000000-1 3.687100-2 6.200000-3 3.060000-2 7.076800-59440 2151   36
 4.458000+2 5.000000-1 3.292100-2 2.100000-3 3.060000-2 2.210400-49440 2151   37
 4.498000+2 5.000000-1 4.734500-2 1.670000-2 3.060000-2 4.479300-59440 2151   38
 4.665000+2 5.000000-1 3.344400-2 2.500000-3 3.060000-2 3.438000-49440 2151   39
 4.733000+2 5.000000-1 3.490000-2 4.300000-3 3.060000-2 0.000000+09440 2151   40
 4.939000+2 5.000000-1 3.712200-2 6.400000-3 3.060000-2 1.218100-49440 2151   41
 4.993000+2 5.000000-1 5.223200-2 1.860000-2 3.350000-2 1.319800-49440 2151   42
 5.143000+2 5.000000-1 5.218000-2 2.150000-2 3.060000-2 8.000000-59440 2151   43
 5.261000+2 5.000000-1 3.151000-2 9.100000-4 3.060000-2 0.000000+09440 2151   44
 5.308000+2 5.000000-1 3.178000-2 7.000000-4 3.060000-2 4.800000-49440 2151   45
 5.464001+2 5.000000-1 6.704000-2 3.100000-2 3.600000-2 4.000000-59440 2151   46
 5.532001+2 5.000000-1 4.933000-2 1.850000-2 3.060000-2 2.300000-49440 2151   47
 5.663000+2 5.000000-1 6.120000-2 3.150000-2 2.950000-2 2.000000-49440 2151   48
 5.841000+2 5.000000-1 3.247000-2 1.100000-3 3.060000-2 7.700000-49440 2151   49
 5.968000+2 5.000000-1 9.105000-2 5.750000-2 3.350000-2 5.000000-59440 2151   50
 6.081000+2 5.000000-1 5.432200-2 2.280000-2 3.150000-2 2.154100-59440 2151   51
 6.325000+2 5.000000-1 4.411200-2 1.330000-2 3.060000-2 2.117200-49440 2151   52
 6.375000+2 5.000000-1 4.235300-2 1.170000-2 3.060000-2 5.301900-59440 2151   53
 6.651000+2 5.000000-1 2.304300-1 1.970000-1 3.300000-2 4.332500-49440 2151   54
 6.786000+2 5.000000-1 5.756400-2 2.605000-2 3.060000-2 9.143400-49440 2151   55
 7.121000+2 5.000000-1 3.271100-2 1.330000-3 3.060000-2 7.806200-49440 2151   56
 7.433000+2 5.000000-1 3.298000-2 1.010000-3 3.060000-2 1.370100-39440 2151   57
 7.500002+2 5.000000-1 1.101300-1 6.819000-2 3.060000-2 1.133600-29440 2151   58
 7.589001+2 5.000000-1 3.723600-2 6.060000-3 3.060000-2 5.763700-49440 2151   59
 7.783000+2 5.000000-1 3.229000-2 1.120000-3 3.060000-2 5.700000-49440 2151   60
 7.825002+2 5.000000-1 1.520500+0 3.850000-3 3.060000-2 1.485600+09440 2151   61
 7.909001+2 5.000000-1 1.119600-1 9.310000-3 3.060000-2 7.205000-29440 2151   62
 8.105002+2 5.000000-1 2.565200-1 2.140900-1 3.060000-2 1.182900-29440 2151   63
 8.199001+2 5.000000-1 1.416100-1 1.099500-1 3.060000-2 1.064900-39440 2151   64
 8.456000+2 5.000000-1 4.108000-2 1.018000-2 3.060000-2 2.998700-49440 2151   65
 8.549001+2 5.000000-1 7.854000-2 4.770000-2 3.060000-2 2.400900-49440 2151   66
 8.765002+2 5.000000-1 4.545100-2 1.391000-2 3.060000-2 9.413800-49440 2151   67
