 6.700000+6 1.871200+0 6.800000+6 1.854400+0 6.900000+6 1.837800+0 228 3  1   45
 7.000000+6 1.821300+0 7.100000+6 1.805100+0 7.200000+6 1.789100+0 228 3  1   46
 7.300000+6 1.773300+0 7.400000+6 1.757700+0 7.500000+6 1.742300+0 228 3  1   47
 7.600000+6 1.727100+0 7.700000+6 1.712000+0 7.800000+6 1.697200+0 228 3  1   48
 7.900000+6 1.682500+0 8.000000+6 1.668100+0 8.100000+6 1.653800+0 228 3  1   49
 8.200000+6 1.639700+0 8.300000+6 1.625800+0 8.400000+6 1.612000+0 228 3  1   50
 8.500000+6 1.598500+0 8.600000+6 1.585100+0 8.700000+6 1.571800+0 228 3  1   51
 8.800000+6 1.558800+0 8.900000+6 1.545900+0 9.000000+6 1.533200+0 228 3  1   52
 9.100000+6 1.520600+0 9.200000+6 1.508200+0 9.300000+6 1.495900+0 228 3  1   53
 9.400000+6 1.483800+0 9.500000+6 1.471800+0 9.600000+6 1.460000+0 228 3  1   54
 9.700000+6 1.448400+0 9.800000+6 1.436900+0 9.900000+6 1.425500+0 228 3  1   55
 1.000000+7 1.414200+0 1.010000+7 1.403200+0 1.020000+7 1.392200+0 228 3  1   56
 1.030000+7 1.381400+0 1.040000+7 1.370700+0 1.050000+7 1.360100+0 228 3  1   57
 1.060000+7 1.349700+0 1.070000+7 1.339300+0 1.080000+7 1.329200+0 228 3  1   58
 1.090000+7 1.319100+0 1.100000+7 1.309100+0 1.110000+7 1.299300+0 228 3  1   59
 1.120000+7 1.289600+0 1.130000+7 1.280000+0 1.140000+7 1.270500+0 228 3  1   60
 1.150000+7 1.261200+0 1.160000+7 1.251900+0 1.170000+7 1.242800+0 228 3  1   61
 1.180000+7 1.233700+0 1.190000+7 1.224800+0 1.200000+7 1.216000+0 228 3  1   62
 1.210000+7 1.207200+0 1.220000+7 1.198600+0 1.230000+7 1.190100+0 228 3  1   63
 1.240000+7 1.181700+0 1.250000+7 1.173300+0 1.260000+7 1.165100+0 228 3  1   64
 1.270000+7 1.157000+0 1.280000+7 1.148900+0 1.290000+7 1.141000+0 228 3  1   65
 1.300000+7 1.133100+0 1.310000+7 1.125400+0 1.320000+7 1.117700+0 228 3  1   66
 1.330000+7 1.110100+0 1.340000+7 1.102600+0 1.350000+7 1.095200+0 228 3  1   67
 1.360000+7 1.087800+0 1.370000+7 1.080600+0 1.380000+7 1.073400+0 228 3  1   68
 1.390000+7 1.066400+0 1.400000+7 1.059400+0 1.410000+7 1.052500+0 228 3  1   69
 1.420000+7 1.045600+0 1.430000+7 1.038900+0 1.440000+7 1.032200+0 228 3  1   70
 1.450000+7 1.025600+0 1.460000+7 1.019000+0 1.470000+7 1.012600+0 228 3  1   71
 1.480000+7 1.006200+0 1.490000+7 9.999000-1 1.500000+7 9.936700-1 228 3  1   72
 1.510000+7 9.875100-1 1.520000+7 9.814200-1 1.530000+7 9.754000-1 228 3  1   73
 1.540000+7 9.694500-1 1.550000+7 9.635700-1 1.560000+7 9.577600-1 228 3  1   74
 1.570000+7 9.520100-1 1.580000+7 9.463400-1 1.590000+7 9.407200-1 228 3  1   75
 1.600000+7 9.351800-1 1.610000+7 9.297000-1 1.620000+7 9.242800-1 228 3  1   76
 1.630000+7 9.189300-1 1.640000+7 9.136400-1 1.650000+7 9.084100-1 228 3  1   77
 1.660000+7 9.032400-1 1.670000+7 8.981400-1 1.680000+7 8.931000-1 228 3  1   78
 1.690000+7 8.881100-1 1.700000+7 8.831900-1 1.710000+7 8.783200-1 228 3  1   79
 1.720000+7 8.735200-1 1.730000+7 8.687700-1 1.740000+7 8.640800-1 228 3  1   80
 1.750000+7 8.594400-1 1.760000+7 8.548600-1 1.770000+7 8.503400-1 228 3  1   81
 1.780000+7 8.458700-1 1.790000+7 8.414600-1 1.800000+7 8.371000-1 228 3  1   82
 1.810000+7 8.328000-1 1.820000+7 8.285500-1 1.830000+7 8.243500-1 228 3  1   83
 1.840000+7 8.202100-1 1.850000+7 8.161100-1 1.860000+7 8.120700-1 228 3  1   84
 1.870000+7 8.080800-1 1.880000+7 8.041400-1 1.890000+7 8.002500-1 228 3  1   85
 1.900000+7 7.964100-1 1.910000+7 7.926200-1 1.920000+7 7.888800-1 228 3  1   86
 1.930000+7 7.851800-1 1.940000+7 7.815400-1 1.950000+7 7.779400-1 228 3  1   87
